GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Minute,Margin of Error
0100000US,,United States,310M100US15140,15140,"United States - In metropolitan or micropolitan statistical area - Brownsville, TN Micro Area","Brownsville, TN Micro Area",21.5,1.7
0100000US,,United States,310M100US15180,15180,"United States - In metropolitan or micropolitan statistical area - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",19.9,0.4
0100000US,,United States,310M100US15220,15220,"United States - In metropolitan or micropolitan statistical area - Brownwood, TX Micro Area","Brownwood, TX Micro Area",16.8,1.5
0100000US,,United States,310M100US15260,15260,"United States - In metropolitan or micropolitan statistical area - Brunswick, GA Metro Area","Brunswick, GA Metro Area",21.4,0.9
0100000US,,United States,310M100US15340,15340,"United States - In metropolitan or micropolitan statistical area - Bucyrus, OH Micro Area","Bucyrus, OH Micro Area",21.5,1.1
0100000US,,United States,310M100US15380,15380,"United States - In metropolitan or micropolitan statistical area - Buffalo-Niagara Falls, NY Metro Area","Buffalo-Niagara Falls, NY Metro Area",21.0,0.2
0100000US,,United States,310M100US15420,15420,"United States - In metropolitan or micropolitan statistical area - Burley, ID Micro Area","Burley, ID Micro Area",16.8,0.9
0100000US,,United States,310M100US15460,15460,"United States - In metropolitan or micropolitan statistical area - Burlington, IA-IL Micro Area","Burlington, IA-IL Micro Area",17.6,0.8
0100000US,,United States,310M100US15500,15500,"United States - In metropolitan or micropolitan statistical area - Burlington, NC Metro Area","Burlington, NC Metro Area",22.7,0.7
0100000US,,United States,310M100US15540,15540,"United States - In metropolitan or micropolitan statistical area - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",21.6,0.3
0100000US,,United States,310M100US15580,15580,"United States - In metropolitan or micropolitan statistical area - Butte-Silver Bow, MT Micro Area","Butte-Silver Bow, MT Micro Area",15.7,1.0
0100000US,,United States,310M100US15620,15620,"United States - In metropolitan or micropolitan statistical area - Cadillac, MI Micro Area","Cadillac, MI Micro Area",21.4,0.8
0100000US,,United States,310M100US15660,15660,"United States - In metropolitan or micropolitan statistical area - Calhoun, GA Micro Area","Calhoun, GA Micro Area",23.7,0.9
0100000US,,United States,310M100US15700,15700,"United States - In metropolitan or micropolitan statistical area - Cambridge, MD Micro Area","Cambridge, MD Micro Area",25.3,1.3
0100000US,,United States,310M100US15740,15740,"United States - In metropolitan or micropolitan statistical area - Cambridge, OH Micro Area","Cambridge, OH Micro Area",24.0,1.2
0100000US,,United States,310M100US15780,15780,"United States - In metropolitan or micropolitan statistical area - Camden, AR Micro Area","Camden, AR Micro Area",22.8,1.5
0100000US,,United States,310M100US15820,15820,"United States - In metropolitan or micropolitan statistical area - Campbellsville, KY Micro Area","Campbellsville, KY Micro Area",18.7,1.5
0100000US,,United States,310M100US15860,15860,"United States - In metropolitan or micropolitan statistical area - Cañon City, CO Micro Area","Cañon City, CO Micro Area",24.1,2.0
0100000US,,United States,310M100US15900,15900,"United States - In metropolitan or micropolitan statistical area - Canton, IL Micro Area","Canton, IL Micro Area",26.8,1.2
0100000US,,United States,310M100US15940,15940,"United States - In metropolitan or micropolitan statistical area - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",22.1,0.3
0100000US,,United States,310M100US15980,15980,"United States - In metropolitan or micropolitan statistical area - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",26.4,0.4
0100000US,,United States,310M100US16020,16020,"United States - In metropolitan or micropolitan statistical area - Cape Girardeau-Jackson, MO-IL Metro Area","Cape Girardeau-Jackson, MO-IL Metro Area",20.8,0.7
0100000US,,United States,310M100US16060,16060,"United States - In metropolitan or micropolitan statistical area - Carbondale, IL Micro Area","Carbondale, IL Micro Area",16.9,0.6
0100000US,,United States,310M100US16100,16100,"United States - In metropolitan or micropolitan statistical area - Carlsbad-Artesia, NM Micro Area","Carlsbad-Artesia, NM Micro Area",17.2,1.1
0100000US,,United States,310M100US16180,16180,"United States - In metropolitan or micropolitan statistical area - Carson City, NV Metro Area","Carson City, NV Metro Area",17.0,0.9
0100000US,,United States,310M100US16220,16220,"United States - In metropolitan or micropolitan statistical area - Casper, WY Metro Area","Casper, WY Metro Area",17.8,0.9
0100000US,,United States,310M100US16260,16260,"United States - In metropolitan or micropolitan statistical area - Cedar City, UT Micro Area","Cedar City, UT Micro Area",17.2,1.5
0100000US,,United States,310M100US16300,16300,"United States - In metropolitan or micropolitan statistical area - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",19.4,0.3
0100000US,,United States,310M100US16340,16340,"United States - In metropolitan or micropolitan statistical area - Cedartown, GA Micro Area","Cedartown, GA Micro Area",26.9,2.1
0100000US,,United States,310M100US16380,16380,"United States - In metropolitan or micropolitan statistical area - Celina, OH Micro Area","Celina, OH Micro Area",18.5,0.7
0100000US,,United States,310M100US16420,16420,"United States - In metropolitan or micropolitan statistical area - Central City, KY Micro Area","Central City, KY Micro Area",24.0,1.8
0100000US,,United States,310M100US16460,16460,"United States - In metropolitan or micropolitan statistical area - Centralia, IL Micro Area","Centralia, IL Micro Area",22.2,1.1
0100000US,,United States,310M100US16500,16500,"United States - In metropolitan or micropolitan statistical area - Centralia, WA Micro Area","Centralia, WA Micro Area",26.8,1.1
0100000US,,United States,310M100US16540,16540,"United States - In metropolitan or micropolitan statistical area - Chambersburg, PA Micro Area","Chambersburg, PA Micro Area",23.6,0.5
0100000US,,United States,310M100US16580,16580,"United States - In metropolitan or micropolitan statistical area - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",17.9,0.3
0100000US,,United States,310M100US16620,16620,"United States - In metropolitan or micropolitan statistical area - Charleston, WV Metro Area","Charleston, WV Metro Area",23.4,0.4
0100000US,,United States,310M100US16660,16660,"United States - In metropolitan or micropolitan statistical area - Charleston-Mattoon, IL Micro Area","Charleston-Mattoon, IL Micro Area",18.3,0.9
0100000US,,United States,310M100US16700,16700,"United States - In metropolitan or micropolitan statistical area - Charleston-North Charleston-Summerville, SC Metro Area","Charleston-North Charleston-Summerville, SC Metro Area",24.6,0.3
0100000US,,United States,310M100US16740,16740,"United States - In metropolitan or micropolitan statistical area - Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",25.1,0.2
0100000US,,United States,310M100US16820,16820,"United States - In metropolitan or micropolitan statistical area - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",23.4,0.5
0100000US,,United States,310M100US16860,16860,"United States - In metropolitan or micropolitan statistical area - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",22.7,0.2
0100000US,,United States,310M100US16900,16900,"United States - In metropolitan or micropolitan statistical area - Chester, SC Micro Area","Chester, SC Micro Area",27.4,1.4
0100000US,,United States,310M100US16940,16940,"United States - In metropolitan or micropolitan statistical area - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",15.5,0.5
0100000US,,United States,310M100US16980,16980,"United States - In metropolitan or micropolitan statistical area - Chicago-Joliet-Naperville, IL-IN-WI Metro Area","Chicago-Joliet-Naperville, IL-IN-WI Metro Area",31.0,0.1
